FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
56,0.630977593,24.23,12.38,0.81,0.684,0.651,1796,29.556627,102.355278,2631,281.55,301.305,9.3,56.81,211,-46,294.25,268.55,288.45,273.75,1048,191,7,81,556,28
57,-0.16736078,26.82,9.6,0.767,0.509,0,217,29.585402,104.442309,702,288.95,302.045,6.9,66.73,293,32,302.45,276.35,297.25,279.95,1147,252,14,84,642,49
58,0.271048024,26.83,10.35,0.7,0.246,0.119,200,29.576667,106.529834,274,291.95,302.345,6.7,73,338,57,306.95,278.85,301.25,282.25,1086,175,19,61,472,63
59,-0.097330307,24.02,9.45,0.721,0.559,0.469,568,29.53043,108.616006,820,287.85,301.935,7.7,73.51,300,12,303.15,274.35,296.95,277.95,1416,205,25,57,600,84
60,-0.160640415,24.37,10.3,0.687,0.594,0.403,429,29.446743,110.698989,263,289.95,302.145,8.1,80.27,325,15,305.65,274.65,299.95,279.25,1362,221,33,54,597,113
61,-0.164247293,26.3,9.18,0.742,0,0.842,26,29.325695,112.776963,29,290.35,302.185,6.8,86.03,327,14,305.85,274.55,301.15,278.85,1287,200,41,47,551,157
62,0.00268595,24.36,10.45,0.841,0.572,0.539,249,29.167417,114.848131,123,290.35,302.185,9.3,83.88,339,6,307.05,273.75,300.85,279.25,1413,244,40,53,632,155
63,-0.237913457,24.56,11.53,0.82,0.583,0,185,28.972075,116.910737,34,291.15,302.265,8.6,82.82,340,17,307.15,274.85,301.35,280.05,1647,280,47,54,742,175
64,-0.227869422,24.78,10.76,0.842,0.686,0.509,328,28.739874,118.963064,826,287.45,301.895,7.8,76.39,289,-9,302.05,272.25,296.95,277.25,1862,316,46,50,780,191
65,-0.09815364,23.94,10.14,0.867,0.582,0.712,224,28.60552,120.712992,704,287.45,301.895,7.2,74.93,288,-2,301.95,272.95,296.85,277.65,1807,256,48,48,686,186
66,0.384877636,18.7,13.89,1,0.285,0.33,47,29.746078,83.73054,4603,273.75,300.525,11.8,52.99,134,-129,286.55,260.25,280.35,266.85,430,84,4,65,203,44
67,0.281855667,24.79,14.59,0.934,0.878,0.791,286,29.74128,85.49286,5444,269.05,300.055,13.8,62.32,97,-211,282.85,252.05,277.05,261.15,226,67,1,107,150,18
68,0.25183155,20.84,12.92,0.217,0.668,0.657,20,30.071214,87.552255,5194,270.85,300.235,14.8,71.2,133,-214,286.45,251.75,279.95,261.85,208,77,1,142,169,4
