FID_grid_v,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation
196,0.755,0.538,0,81,41.456259,104.282131,799
42,0.664,0.537,0.037,230,27.661421,110.58187,758
231,1.017,0,0,22,44.804542,119.654533,756
119,0.953,0.828,0.872,353,34.856011,108.859237,738
239,0.742,0.642,0.64,237,46.424211,88.583917,717
97,0.914,0.754,0.665,617,33.133131,106.596985,708
65,0.867,0.582,0.712,224,28.60552,120.712992,704
212,0.771,0.548,0,34,43.1552,91.857492,703
57,0.767,0.509,0,217,29.585402,104.442309,702
78,0.78,0.658,0.49,501,31.310438,108.693605,696
266,1,1,1,15,53.121151,122.057038,694
14,0.696,0.323,0.135,862,24.188923,106.439067,679
264,0.881,0.55,0.484,92,51.634672,124.10432,639
99,0.928,0.725,0.713,299,32.998313,110.9486,633
227,0.834,0.812,0.629,69,44.551338,93.568816,626
248,0.732,0.629,0.517,176,47.657964,86.139605,612
217,1,0.646,0.174,50,43.041098,119.289218,586
27,0.723,0.509,0.292,763,25.867923,110.469463,571
250,1,0.914,0.95,62,48.696908,117.756121,558
83,0.913,0.595,0.553,322,30.505905,119.258917,546
257,0.767,0,0,16,49.851968,118.723823,544
76,0.809,0.561,0.636,660,31.366403,104.430331,536
30,0.757,0.547,0.181,363,25.408054,116.434368,519
225,0.801,0.693,0.619,295,44.657826,89.002261,506
77,0.69,0,0,84,31.35751,106.562688,496
245,0.901,0.773,0.577,127,45.559016,127.682463,470
204,0.881,0.636,0.544,136,40.756437,123.649922,469
47,0.739,0.629,0.188,195,27.106781,120.034954,444
224,0.801,0.724,0.671,295,44.349305,86.504369,444
238,0.811,0.645,0.408,189,46.106055,86.023649,439
16,0.71,0.392,0.216,630,24.064907,110.36149,436
267,NA,0,0,NA,52.919013,124.384827,425
142,0,0.19,0,22,36.020804,117.992633,424
8,0.654,0.193,0.112,430,22.369103,112.119543,417
26,0.693,0.467,0.207,697,25.948964,108.470192,410
265,0.881,0.55,0.484,92,51.156274,126.232014,401
259,0.88,0.708,0,37,49.836178,123.579651,399
0,0.589,0.223,0.095,726,18.96548,109.794994,395
121,0.976,0.789,0.743,107,34.639234,113.298232,385
260,0.903,0.739,0.499,70,49.459392,126.22218,385
261,0.882,0,0.182,31,48.796262,128.765073,385
246,0.844,0.724,0.54,73,45.142419,130.146131,376
252,0.854,0.951,0.79,59,48.052919,123.082719,359
20,NA,NA,NA,NA,23.190572,120.618173,354
120,0.978,0.721,0.852,367,34.767386,111.081778,352
5,0.616,0.297,0.132,859,22.714752,106.799998,333
29,0.72,0.52,0.209,372,25.597415,114.453224,330
254,0.99,1,0,16,47.306553,128.280731,327
218,1,0.791,0.465,44,42.764302,121.738183,324
235,1.013,0.783,0.245,107,43.46955,129.5003,276
58,0.7,0.246,0.119,200,29.576667,106.529834,274
219,0.976,0.835,0.811,95,42.444652,124.166708,270
243,1,0.333,0.303,44,46.281664,122.611404,267
60,0.687,0.594,0.403,429,29.446743,110.698989,263
233,1,0.427,0.63,34,44.190687,124.651106,257
253,0.518,0.402,0,40,47.702552,125.696113,254
28,0.794,0.446,0.272,533,25.750726,112.464287,241
45,0.75,0.56,0.505,251,27.194478,116.667714,218
232,1,0.808,0.51,77,44.519615,122.163795,170
163,1,0.522,0,12,37.136793,120.624562,155
15,0.606,0.303,0.301,439,24.144793,108.401606,154
43,0.487,0.181,0.289,94,27.542361,112.617433,143
80,0.81,0.405,0,40,31.102028,112.943303,143
244,1,0.948,0.067,56,45.942546,125.160263,142
100,0.947,0.762,0.703,138,32.872735,113.116898,132
6,0.659,0.24,0.137,563,22.42497,108.335321,128
31,0.7,0,0,159,25.323755,118.265763,126
62,0.841,0.572,0.539,249,29.167417,114.848131,123
81,0.878,0.521,0.512,214,30.940936,115.058234,113
7,0.642,0.346,0.115,521,22.287842,110.263527,103
19,0.693,0.664,0.187,251,23.740135,116.119502,98
256,0.949,0.882,0.473,70,46.477653,132.947561,90
18,0.725,0.527,0.202,454,23.79819,114.267208,86
255,1.019,0.957,0.577,64,46.863401,130.832945,83
17,0.706,0.482,0.252,640,23.949449,112.31733,82
44,0.733,0.599,0.15,236,27.386663,114.646599,77
182,1,1,0,32,39.782476,118.418249,77
143,0,0,0,11,36.074815,119.721595,66
247,1,0.518,0.256,53,45.323661,132.28433,66
82,0.863,0.757,0.819,193,30.742153,117.164046,60
102,0.981,0.989,0.904,39,32.506044,117.428307,59
203,0.906,0,0.264,15,41.198336,121.293767,57
122,1,0.135,0,10,34.471735,115.506428,51
262,NA,NA,NA,NA,47.778451,133.749609,51
181,0.955,0.54,0.239,79,39.749276,116.258632,48
101,0.96,0,0.138,57,32.708576,115.277465,38
141,1,0,0.826,13,36.231867,115.745785,38
63,0.82,0.583,0,185,28.972075,116.910737,34
